Entity,Label,Role,Verb,Voice,Sentiment,Uncertainty,Is_Violent,Is_Pronoun,Identity_Group
usa,WEST_ACTORS,PATIENT,destroy,passive,-0.8690031170845032,0.0,True,False,NAMED_ENTITY
usa,WEST_ACTORS,AGENT,admit,active,0.0,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,open,active,0.0,0.0,False,False,NAMED_ENTITY
usa,WEST_ACTORS,PATIENT,deploy,passive,0.0,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,PATIENT,maintain,active,0.0,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,understand,active,0.0,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,AGENT,mean,active,-0.7795140743255615,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,AGENT,continue,active,-0.7795140743255615,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,destabilize,active,-0.7795140743255615,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,AGENT,continue,active,-0.6030008792877197,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,spend,active,-0.6030008792877197,0.0,False,False,NAMED_ENTITY
zelensky,UKR_POLITICAL,PATIENT,announce,active,-0.6030008792877197,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,PATIENT,block,passive,-0.746320903301239,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,PATIENT,use,passive,-0.746320903301239,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,PATIENT,protect,active,-0.746320903301239,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,PATIENT,confiscate,active,0.0,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,PATIENT,freeze,active,0.0,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,PATIENT,use,active,0.0,0.0,False,False,NAMED_ENTITY
france,WEST_ACTORS,PATIENT,insult,active,-0.757878303527832,0.0,False,False,NAMED_ENTITY
zelensky,UKR_POLITICAL,AGENT,use,active,0.0,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,AGENT,hunt,active,0.0,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,PATIENT,declare,active,0.0,0.0,False,False,NAMED_ENTITY
zelensky,UKR_POLITICAL,AGENT,speak,active,0.0,0.0,False,False,NAMED_ENTITY
zelensky,UKR_POLITICAL,PATIENT,use,active,0.0,0.0,False,False,NAMED_ENTITY
zelensky,UKR_POLITICAL,AGENT,use,active,0.0,0.0,False,False,NAMED_ENTITY
zelensky,UKR_POLITICAL,AGENT,make,active,0.0,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,AGENT,have,active,0.0,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,PATIENT,have,active,0.0,0.0,False,False,NAMED_ENTITY
zelensky,UKR_POLITICAL,PATIENT,accuse,passive,-0.7383639812469482,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,AGENT,devour,active,-0.7383639812469482,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,PATIENT,devour,active,-0.7383639812469482,0.0,False,False,NAMED_ENTITY
zelensky,UKR_POLITICAL,AGENT,cry,active,-0.7383639812469482,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,PATIENT,cry,active,-0.7383639812469482,0.0,False,False,NAMED_ENTITY
zelensky,UKR_POLITICAL,AGENT,play,active,0.0,0.125,False,False,NAMED_ENTITY
zelensky,UKR_POLITICAL,AGENT,come,active,-0.6900927424430847,0.0,False,False,NAMED_ENTITY
putin,RU_POLITICAL,AGENT,agree,active,-0.6900927424430847,0.0,False,False,NAMED_ENTITY
zelensky,UKR_POLITICAL,AGENT,explain,active,0.0,0.0278,False,False,NAMED_ENTITY
trump,WEST_ACTORS,AGENT,have,active,0.0,0.0278,False,False,NAMED_ENTITY
trump,WEST_ACTORS,PATIENT,have,active,0.0,0.0278,False,False,NAMED_ENTITY
zelensky,UKR_POLITICAL,PATIENT,satisfy,active,0.0,0.0278,False,False,NAMED_ENTITY
trump,WEST_ACTORS,AGENT,decide,active,0.0,0.0,False,False,NAMED_ENTITY
zelensky,UKR_POLITICAL,AGENT,have,active,0.0,0.0,False,False,NAMED_ENTITY
eu,WEST_ACTORS,AGENT,play,active,0.0,0.0,False,False,NAMED_ENTITY
zelensky,UKR_POLITICAL,PATIENT,calculate,active,0.0,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,AGENT,calculate,active,0.0,0.0,False,False,NAMED_ENTITY
zelensky,UKR_POLITICAL,PATIENT,consider,active,0.0,0.0,False,False,NAMED_ENTITY
they,OUT_GROUP,AGENT,say,active,-0.7118148803710938,0.05,False,True,OUT_GROUP
zelensky,UKR_POLITICAL,PATIENT,call,active,-0.7516257166862488,0.0143,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,worsen,active,0.0,0.0,False,False,NAMED_ENTITY
yermak,UKR_POLITICAL,AGENT,break,active,0.0,0.0,False,False,NAMED_ENTITY
yermak,UKR_POLITICAL,AGENT,stay,active,0.0,0.0,False,False,NAMED_ENTITY
zelensky,UKR_POLITICAL,PATIENT,stay,active,0.0,0.0,False,False,NAMED_ENTITY
yermak,UKR_POLITICAL,PATIENT,dismiss,passive,0.0,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,PATIENT,take,active,0.0,0.0,False,False,NAMED_ENTITY
yermak,UKR_POLITICAL,AGENT,replace,active,0.0,0.0,False,False,NAMED_ENTITY
yermak,UKR_POLITICAL,PATIENT,replace,active,0.0,0.0,False,False,NAMED_ENTITY
they,OUT_GROUP,AGENT,create,active,0.0,0.0,False,True,OUT_GROUP
eu,WEST_ACTORS,AGENT,become,active,0.0,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,announce,passive,-0.6318170428276062,0.0556,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,PATIENT,spend,active,-0.6318170428276062,0.0556,False,False,NAMED_ENTITY
russia,RU_POLITICAL,AGENT,hat,active,-0.8673834800720215,0.0,False,False,NAMED_ENTITY
eu,WEST_ACTORS,AGENT,try,active,-0.6512320637702942,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,AGENT,need,active,0.0,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,run,active,0.0,0.027,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,give,active,0.0,0.027,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,carry,active,0.0,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,carry,active,0.0,0.0,False,False,NAMED_ENTITY
we,IN_GROUP,AGENT,link,active,-0.7099955081939697,0.0192,False,True,IN_GROUP
we,IN_GROUP,AGENT,believe,active,-0.7099955081939697,0.0192,False,True,IN_GROUP
eu,WEST_ACTORS,PATIENT,have,active,0.0,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,supply,active,-0.48643097281455994,0.0179,False,False,NAMED_ENTITY
eu,WEST_ACTORS,AGENT,agree,active,0.0,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,borrow,active,0.0,0.0333,False,False,NAMED_ENTITY
eu,WEST_ACTORS,PATIENT,borrow,active,0.0,0.0333,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,PATIENT,buy,active,0.0,0.0333,False,False,NAMED_ENTITY
moscow,RU_POLITICAL,AGENT,celebrate,active,0.0,0.027,False,False,NAMED_ENTITY
moscow,RU_POLITICAL,AGENT,celebrate,active,0.0,0.027,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,end,active,0.0,0.027,False,False,NAMED_ENTITY
moscow,RU_POLITICAL,AGENT,celebrate,active,0.0,0.0,False,False,NAMED_ENTITY
moscow,RU_POLITICAL,PATIENT,celebrate,active,0.0,0.0,False,False,NAMED_ENTITY
donetsk,UKR_POLITICAL,PATIENT,gather,active,0.0,0.0,False,False,NAMED_ENTITY
donetsk,UKR_POLITICAL,AGENT,like,active,0.0,0.0,False,False,NAMED_ENTITY
donetsk,UKR_POLITICAL,AGENT,shudder,active,-0.6331989169120789,0.0,False,False,NAMED_ENTITY
they,OUT_GROUP,AGENT,release,active,0.0,0.0,False,True,OUT_GROUP
un,INTL_ACTORS,AGENT,understand,active,-0.7359232306480408,0.0667,False,False,NAMED_ENTITY
trump,WEST_ACTORS,AGENT,have,active,0.0,0.0,False,False,NAMED_ENTITY
trump,WEST_ACTORS,PATIENT,have,active,0.0,0.0,False,False,NAMED_ENTITY
trump,WEST_ACTORS,AGENT,get,active,-0.789345383644104,0.0,False,False,NAMED_ENTITY
trump,WEST_ACTORS,PATIENT,get,active,-0.789345383644104,0.0,False,False,NAMED_ENTITY
trump,WEST_ACTORS,AGENT,get,active,-0.789345383644104,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,get,active,-0.789345383644104,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,scream,active,-0.789345383644104,0.0,False,False,NAMED_ENTITY
trump,WEST_ACTORS,AGENT,go,active,-0.4849090874195099,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,AGENT,attack,active,-0.7820421457290649,0.0,True,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,say,active,-0.6168956160545349,0.0667,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,tear,active,-0.8769896030426025,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,tear,active,-0.8769896030426025,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,make,active,-0.8769896030426025,0.0,False,False,NAMED_ENTITY
we,IN_GROUP,AGENT,have,active,-0.6330729126930237,0.0,False,True,IN_GROUP
ukraine,UKR_POLITICAL,AGENT,show,active,0.0,0.0714,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,AGENT,show,active,0.0,0.0714,False,False,NAMED_ENTITY
kiev,UKR_POLITICAL,AGENT,reply,active,0.0,0.0667,False,False,NAMED_ENTITY
kiev,UKR_POLITICAL,AGENT,go,active,0.0,0.0667,False,False,NAMED_ENTITY
usa,WEST_ACTORS,AGENT,speak,active,0.0,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,PATIENT,see,active,0.0,0.0,False,False,NAMED_ENTITY
zelensky,UKR_POLITICAL,AGENT,emigrate,active,0.0,0.0,False,False,NAMED_ENTITY
zelensky,UKR_POLITICAL,AGENT,emigrate,active,0.0,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,understand,active,0.0,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,see,active,0.0,0.0,False,False,NAMED_ENTITY
they,OUT_GROUP,AGENT,have,active,0.0,0.0741,False,True,OUT_GROUP
they,OUT_GROUP,AGENT,go,active,0.0,0.0741,False,True,OUT_GROUP
they,OUT_GROUP,AGENT,open,active,0.0,0.0741,False,True,OUT_GROUP
we,IN_GROUP,AGENT,call,active,-0.48680737614631653,0.0,False,True,IN_GROUP
kiev,UKR_POLITICAL,AGENT,understand,active,-0.7747634053230286,0.0556,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,disobey,active,-0.7747634053230286,0.0556,False,False,NAMED_ENTITY
they,OUT_GROUP,PATIENT,disobey,active,-0.7747634053230286,0.0556,False,True,OUT_GROUP
russia,RU_POLITICAL,AGENT,send,active,-0.8729211091995239,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,PATIENT,send,active,-0.8729211091995239,0.0,False,False,NAMED_ENTITY
trump,WEST_ACTORS,AGENT,talk,active,-0.8729211091995239,0.0,False,False,NAMED_ENTITY
trump,WEST_ACTORS,PATIENT,remember,active,0.0,0.0,False,False,NAMED_ENTITY
trump,WEST_ACTORS,PATIENT,ask,active,0.0,0.0,False,False,NAMED_ENTITY
trump,WEST_ACTORS,AGENT,agree,active,0.0,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,AGENT,advise,active,0.0,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,PATIENT,advise,active,0.0,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,PATIENT,refuse,active,0.0,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,AGENT,fail,active,-0.6458426713943481,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,PATIENT,provide,active,-0.6458426713943481,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,AGENT,hide,active,-0.8752490282058716,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,PATIENT,hide,active,-0.8752490282058716,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,AGENT,send,active,-0.8752490282058716,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,PATIENT,send,active,-0.8752490282058716,0.0,False,False,NAMED_ENTITY
eu,WEST_ACTORS,AGENT,rise,active,0.8983985781669617,0.0,False,False,NAMED_ENTITY
zelensky,UKR_POLITICAL,AGENT,become,active,-0.7573421001434326,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,lead,active,-0.9267942905426025,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,PATIENT,end,active,0.0,0.0333,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,understand,active,0.0,0.125,False,False,NAMED_ENTITY
we,IN_GROUP,AGENT,let,active,0.0,0.0667,False,True,IN_GROUP
they,OUT_GROUP,AGENT,fear,active,0.0,0.0667,False,True,OUT_GROUP
russia,RU_POLITICAL,AGENT,organize,active,0.0,0.0,False,False,NAMED_ENTITY
eu,WEST_ACTORS,AGENT,find,active,0.0,0.027,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,find,active,0.0,0.027,False,False,NAMED_ENTITY
eu,WEST_ACTORS,PATIENT,associate,passive,-0.5872456431388855,0.1,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,constitute,active,0.0,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,AGENT,lose,active,0.0,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,PATIENT,lose,active,0.0,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,AGENT,say,active,0.0,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,AGENT,go,active,0.0,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,PATIENT,encourage,active,0.0,0.0,False,False,NAMED_ENTITY
zelensky,UKR_POLITICAL,AGENT,say,active,0.0,0.0,False,False,NAMED_ENTITY
they,OUT_GROUP,AGENT,have,active,-0.47557827830314636,0.0,False,True,OUT_GROUP
we,IN_GROUP,AGENT,worry,active,-0.813815712928772,0.0,False,True,IN_GROUP
they,OUT_GROUP,AGENT,end,active,-0.8220893740653992,0.0,False,True,OUT_GROUP
zelensky,UKR_POLITICAL,PATIENT,end,active,-0.8220893740653992,0.0,False,False,NAMED_ENTITY
zelensky,UKR_POLITICAL,AGENT,guess,active,-0.49139344692230225,0.0526,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,prefer,active,0.0,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,support,active,0.0,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,support,active,0.0,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,undermine,active,-0.7340373396873474,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,undermine,active,-0.7340373396873474,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,AGENT,reveal,active,-0.7697092890739441,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,PATIENT,reveal,active,-0.7697092890739441,0.0,False,False,NAMED_ENTITY
eu,WEST_ACTORS,AGENT,have,active,0.7754271626472473,0.0244,False,False,NAMED_ENTITY
kiev,UKR_POLITICAL,AGENT,turn,active,-0.5457698106765747,0.0,False,False,NAMED_ENTITY
france,WEST_ACTORS,AGENT,have,active,-0.7037208676338196,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,AGENT,need,active,0.0,0.0,False,False,NAMED_ENTITY
kiev,UKR_POLITICAL,AGENT,leave,active,0.0,0.0,False,False,NAMED_ENTITY
kiev,UKR_POLITICAL,PATIENT,leave,active,0.0,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,dig,active,-0.9325000047683716,0.0,False,False,NAMED_ENTITY
kiev,UKR_POLITICAL,PATIENT,happen,passive,-0.5849026441574097,0.0455,False,False,NAMED_ENTITY
we,IN_GROUP,AGENT,need,active,-0.5849026441574097,0.0455,False,True,IN_GROUP
kiev,UKR_POLITICAL,AGENT,drink,active,0.654164731502533,0.0588,False,False,NAMED_ENTITY
zelensky,UKR_POLITICAL,AGENT,show,active,-0.6778686046600342,0.0,False,False,NAMED_ENTITY
zelensky,UKR_POLITICAL,PATIENT,show,active,-0.6778686046600342,0.0,False,False,NAMED_ENTITY
zelensky,UKR_POLITICAL,AGENT,pawn,active,-0.6778686046600342,0.0,False,False,NAMED_ENTITY
zelensky,UKR_POLITICAL,PATIENT,pawn,active,-0.6778686046600342,0.0,False,False,NAMED_ENTITY
putin,RU_POLITICAL,PATIENT,call,active,-0.6778686046600342,0.0,False,False,NAMED_ENTITY
they,OUT_GROUP,AGENT,catch,active,-0.7409356832504272,0.0,False,True,OUT_GROUP
they,OUT_GROUP,PATIENT,catch,active,-0.7409356832504272,0.0,False,True,OUT_GROUP
they,OUT_GROUP,AGENT,destroy,active,-0.7409356832504272,0.0,True,True,OUT_GROUP
they,OUT_GROUP,PATIENT,destroy,active,-0.7409356832504272,0.0,True,True,OUT_GROUP
usa,WEST_ACTORS,AGENT,order,active,0.0,0.0,False,False,NAMED_ENTITY
usa,WEST_ACTORS,PATIENT,survive,active,0.0,0.0,False,False,NAMED_ENTITY
kiev,UKR_POLITICAL,AGENT,check,active,0.0,0.0,False,False,NAMED_ENTITY
kiev,UKR_POLITICAL,PATIENT,check,active,0.0,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,declare,active,0.0,0.0,False,False,NAMED_ENTITY
zelensky,UKR_POLITICAL,AGENT,give,active,0.0,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,AGENT,become,active,0.0,0.0213,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,AGENT,become,active,0.0,0.0213,False,False,NAMED_ENTITY
zelensky,UKR_POLITICAL,AGENT,reaffirm,active,-0.8362871408462524,0.0,False,False,NAMED_ENTITY
zelensky,UKR_POLITICAL,PATIENT,reaffirm,active,-0.8362871408462524,0.0,False,False,NAMED_ENTITY
eu,WEST_ACTORS,AGENT,arise,active,0.0,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,have,active,0.0,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,PATIENT,speak,active,0.0,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,AGENT,have,active,0.0,0.0,False,False,NAMED_ENTITY
usa,WEST_ACTORS,AGENT,withdraw,active,0.0,0.0,False,False,NAMED_ENTITY
usa,WEST_ACTORS,AGENT,report,active,0.0,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,PATIENT,nominate,active,0.0,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,AGENT,take,active,0.0,0.0,False,False,NAMED_ENTITY
zelensky,UKR_POLITICAL,PATIENT,write,active,0.0,0.0172,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,undermine,active,0.0,0.0172,False,False,NAMED_ENTITY
kiev,UKR_POLITICAL,PATIENT,undermine,active,0.0,0.0172,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,lead,active,0.0,0.0172,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,launch,active,0.0,0.0172,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,buy,active,0.0,0.0303,False,False,NAMED_ENTITY
usa,WEST_ACTORS,AGENT,show,active,0.0,0.0,False,False,NAMED_ENTITY
usa,WEST_ACTORS,PATIENT,show,active,0.0,0.0,False,False,NAMED_ENTITY
usa,WEST_ACTORS,AGENT,care,active,0.0,0.0,False,False,NAMED_ENTITY
usa,WEST_ACTORS,AGENT,die,active,-0.9114426970481873,0.0,False,False,NAMED_ENTITY
they,OUT_GROUP,PATIENT,abandon,passive,-0.9114426970481873,0.0,False,True,OUT_GROUP
they,OUT_GROUP,AGENT,rest,active,-0.9114426970481873,0.0,False,True,OUT_GROUP
they,OUT_GROUP,AGENT,have,active,-0.9114426970481873,0.0,False,True,OUT_GROUP
zelensky,UKR_POLITICAL,AGENT,go,active,0.0,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,AGENT,engage,active,0.0,0.0526,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,run,active,0.0,0.0,False,False,NAMED_ENTITY
we,IN_GROUP,AGENT,wait,active,0.0,0.0,False,True,IN_GROUP
un,INTL_ACTORS,AGENT,announce,active,0.0,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,announce,active,0.0,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,PATIENT,confront,active,0.0,0.0,False,False,NAMED_ENTITY
usa,WEST_ACTORS,AGENT,do,active,-0.8382948040962219,0.0,False,False,NAMED_ENTITY
usa,WEST_ACTORS,PATIENT,do,active,-0.8382948040962219,0.0,False,False,NAMED_ENTITY
usa,WEST_ACTORS,AGENT,negotiate,active,0.0,0.0,False,False,NAMED_ENTITY
usa,WEST_ACTORS,AGENT,push,active,-0.7403393983840942,0.0,False,False,NAMED_ENTITY
usa,WEST_ACTORS,PATIENT,push,active,-0.7403393983840942,0.0,False,False,NAMED_ENTITY
usa,WEST_ACTORS,PATIENT,betray,active,-0.7403393983840942,0.0,False,False,NAMED_ENTITY
we,IN_GROUP,AGENT,have,active,0.0,0.0,False,True,IN_GROUP
un,INTL_ACTORS,AGENT,organize,active,0.0,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,AGENT,release,active,0.0,0.0,False,False,NAMED_ENTITY
kiev,UKR_POLITICAL,PATIENT,understand,passive,0.0,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,AGENT,recall,active,0.0,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,AGENT,decide,active,0.0,0.0,False,False,NAMED_ENTITY
moscow,RU_POLITICAL,PATIENT,show,active,0.7732915282249451,0.0,False,False,NAMED_ENTITY
moscow,RU_POLITICAL,AGENT,tremble,active,0.0,0.0,False,False,NAMED_ENTITY
zelensky,UKR_POLITICAL,PATIENT,support,active,0.0,0.0,False,False,NAMED_ENTITY
eu,WEST_ACTORS,AGENT,agree,active,-0.5620843172073364,0.0,False,False,NAMED_ENTITY
zelensky,UKR_POLITICAL,AGENT,agree,active,0.0,0.0667,False,False,NAMED_ENTITY
eu,WEST_ACTORS,AGENT,realize,active,0.0,0.0,False,False,NAMED_ENTITY
zelensky,UKR_POLITICAL,AGENT,have,active,-0.7512698173522949,0.0,False,False,NAMED_ENTITY
zelensky,UKR_POLITICAL,PATIENT,have,active,-0.7512698173522949,0.0,False,False,NAMED_ENTITY
eu,WEST_ACTORS,AGENT,want,active,-0.8588358759880066,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,AGENT,reveal,active,-0.7697092890739441,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,PATIENT,reveal,active,-0.7697092890739441,0.0,False,False,NAMED_ENTITY
zelensky,UKR_POLITICAL,AGENT,know,active,0.0,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,AGENT,stop,active,0.0,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,PATIENT,stop,active,0.0,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,AGENT,catch,active,0.0,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,PATIENT,catch,active,0.0,0.0,False,False,NAMED_ENTITY
they,OUT_GROUP,AGENT,shout,active,0.0,0.0,False,True,OUT_GROUP
russia,RU_POLITICAL,PATIENT,lead,active,0.0,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,AGENT,have,active,-0.6095193028450012,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,have,active,-0.6095193028450012,0.0,False,False,NAMED_ENTITY
